Host,Year
Greece,1896
 France,1900
United States,1904
United Kingdom,1908
 Sweden,1912
 Cancelled,1916
Belgium,1920
France,1924
 Netherlands,1928
United States,1932
Germany,1936
 Cancelled ,1940
 Cancelled ,1944
United Kingdom,1948
 Finland,1952
 Australia,1956
Italy,1960
 Japan,1964
 Mexico,1968
West Germany,1972
 Canada,1976
 Soviet Union,1980
United States,1984
 South Korea,1988
 Spain,1992
 United States,1996
Australia,2000
Greece,2004
 China,2008
United Kingdom,2012
 Brazil,2016
 Japan,2020
 France,2024
United States,2028
Australia,2032
